Wavenumber,Fit_First,Fit_Last
28895.48,0.42980192923051125,0.34059903830973065
28847.41,0.4149921437401066,0.3289046066278163
28799.5,0.39960345992675017,0.3167599509027048
28751.75,0.3835907905735955,0.30412698978062386
28704.15,0.36694240256003446,0.2909941302219677
28656.71,0.34968988511975474,0.27738422757554093
28609.43,0.3318957591235173,0.2633448836198891
28562.31,0.3136529328541215,0.24894806293618546
28515.33,0.295071663130425,0.2342798200242478
28468.52,0.2763014123502224,0.21945755069589049
28421.85,0.25748086647813195,0.20459050933626102
28375.34,0.2387752717689356,0.18980925155133763
28328.99,0.22034195908031623,0.1752383594370661
28282.78,0.20232478711389262,0.1609919852565394
28236.72,0.18486893063276916,0.1471854873473911
28190.82,0.16810427599062858,0.13392225273684957
28145.06,0.15213177780287762,0.12128284945448085
28099.45,0.13704328397746465,0.10934066698768259
28053.99,0.12290565489858879,0.09814931595869715
28008.67,0.10976154257470506,0.08774321370643282
27963.5,0.09763888722064555,0.07814508181625608
27918.48,0.08654304190905804,0.0693596981595171
27873.6,0.07645975961198852,0.061376254289317915
27828.86,0.06736239447032567,0.0541740560543993
27784.27,0.05921332575351183,0.04772365335793432
27739.82,0.0519609749894795,0.04198448523341052
27695.52,0.04554969852138949,0.03691271858513782
27651.35,0.03991446620565473,0.03245704816363137
27607.33,0.034992781963241536,0.02856813569635298
27563.44,0.030716366970944462,0.02519204445316046
27519.7,0.027021830853749745,0.022278681114587286
27476.09,0.02384417032149611,0.019776672305761106
27432.62,0.021124069811018317,0.017639131911337334
27389.29,0.01880518488055689,0.01582152389599094
27346.09,0.016835146667379168,0.014282462426155105
27303.04,0.015167596783106259,0.012985304464347905
27260.11,0.01375896400177817,0.01189563939500031
27217.32,0.012572294868300507,0.010984267975982698
27174.67,0.011574358070181427,0.010224946395462928
27132.15,0.010736038109504627,0.009594695207452293
27089.76,0.01003245660668154,0.009073880130780646
27047.5,0.009442317242053265,0.00864569883829109
27005.38,0.008947643093558492,0.008295961952882538
26963.39,0.008533049041011924,0.008012545878968677
26921.52,0.0081857063859417,0.0077853481466938195
26879.79,0.007895169011366724,0.007606112045164131
26838.19,0.007652568082001667,0.00746785747833962
26796.71,0.007450630814586786,0.007364865113412055
26755.36,0.007283488356820752,0.007292494786128223
26714.14,0.007146290062784076,0.0072469195777365375
26673.05,0.007035077736600428,0.007225014037185771
26632.08,0.006946604928457858,0.0072242287883652065
26591.24,0.006878266982187685,0.007242485209844846
26550.52,0.006827899938776339,0.007278084200889273
26509.93,0.006793754926148615,0.007329615337979456
26469.46,0.006774370931963782,0.007395930573230634
26429.12,0.006768546830015867,0.00747604489152382
26388.9,0.006775271267857052,0.007569161706638844
26348.8,0.006793694718146608,0.007674589927662484
26308.82,0.006823091078606061,0.007791733418432489
26268.96,0.0068628324856122675,0.007920071111876188
26229.23,0.006912355823182998,0.008059104977619778
26189.61,0.006971199565372033,0.008208490508313642
26150.12,0.007038898436500967,0.008367775353928474
26110.74,0.0071150923318671865,0.008536693055376207
26071.48,0.00719940471459064,0.008714881399057604
26032.34,0.007291503244217734,0.008902036575192339
25993.31,0.007391105737125173,0.009097921833569271
25954.41,0.007497872521904441,0.009302161431527971
25915.62,0.007611587040232982,0.009514595387292605
25876.94,0.0077319982895234975,0.009734973917545605
25838.38,0.007858834292702703,0.009962993711278807
25799.94,0.00799186301232646,0.010198410767858462
25761.61,0.008130899734695055,0.010441049956282046
25723.39,0.00827573655253384,0.010690681384870553
25685.28,0.008426173413324758,0.010947077632851195
25647.29,0.008581975488847579,0.011209942879870125
25609.41,0.008742994744286,0.01147911897129714
25571.65,0.008909005273007555,0.01175430817016505
25533.99,0.00907991866310104,0.012035432276413448
25496.45,0.009255472107230754,0.012322117591945432
25459.01,0.009435590739967055,0.012614291448172681
25421.69,0.009620013174496341,0.012911571108295224
25384.47,0.009808675722009419,0.013213887493031519
25347.36,0.010001369306935093,0.013520931339036184
25310.36,0.010197935449976374,0.013832470003658
25273.47,0.010398217110928152,0.01414826838090025
25236.69,0.010602058329322383,0.014468088710002835
