Wavelength [nm]	Abs_Stable	Abs_PSS	EpsilonAvg_Stable	EpsilonPlusError_Stable	EpsilonMinusError_Stable	Abs_Metastable_before_rescaling	Abs_Metastable_rescaled	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable	EpsilonAvg_Stable * total_conc_avg	EpsilonAvg_Metastable * total_conc_avg
466.593	0.415	0.3954	8746.208035446523	8779.411636175651	8713.004434717395	0.23354999999999998	0.38286885245901636	7958.370095847602	8001.221325761063	7915.518865934146	0.42077091082336654	0.38286885245901636
467.169	0.40272131715771303	0.3879129982668982	8550.829136640197	8582.964764377051	8518.693508903343	0.2308516845753901	0.37844538454981985	7866.423220298985	7908.779369353362	7824.067071244612	0.4113714365742719	0.37844538454981985
467.746	0.393	0.3818	8328.781732572292	8358.421609392624	8299.14185575196	0.22852999999999996	0.374639344262295	7787.310289034692	7829.24046061304	7745.380117456348	0.40068896846043783	0.374639344262295
468.323	0.3849	0.3767	8162.033727351444	8195.249114584776	8128.818340118112	0.22658899999999996	0.37145737704918025	7721.169435444282	7762.743476698237	7679.595394190331	0.39266689652361664	0.37145737704918025
468.9	0.3738	0.3682	7890.378555449319	7924.595960634621	7856.161150264016	0.222418	0.36461967213114754	7579.039862891167	7619.848618424852	7538.2311073574865	0.37959785064134594	0.36461967213114754
469.476	0.3633	0.3618	7671.232373540614	7704.954845535504	7637.5099015457245	0.220113	0.36084098360655736	7500.495469523885	7540.881308829993	7460.10963021778	0.3690549572878515	0.36084098360655736
470.053	0.3534	0.3552	7472.043013847565	7504.559805532773	7439.526222162357	0.217374	0.35635081967213117	7407.162240268794	7447.045534001223	7367.278946536369	0.3594721657552592	0.35635081967213117
470.63	0.3436	0.3473	7233.591934630512	7268.03354681956	7199.150322441464	0.21329599999999999	0.3496655737704918	7268.201703977351	7307.336775420817	7229.066632533888	0.3480005340055518	0.3496655737704918
471.206	0.3326190641247829	0.34031213171577096	7010.933244288188	7039.23340644356	6982.633082132816	0.21059069670710562	0.3452306503395174	7176.016712213836	7214.655420679827	7137.378003747849	0.3372886575491059	0.3452306503395174
471.783	0.3227	0.3338	6832.261379481089	6860.005192404829	6804.517566557348	0.207947	0.3408967213114754	7085.931005443038	7124.084654369668	7047.777356516412	0.32869294121252846	0.3408967213114754
