Wavelength [nm],Epsilons_averaged,Epsilons_averaged_plus_error,Epsilons_averaged_minus_error
508.116,342.8318332098718,354.7453811454491,330.9182852742945
508.692,329.66072291370904,337.20367257571036,322.1177732517077
509.269,315.28678313517884,328.7699542314168,301.80361203894086
509.846,310.67998946035465,326.17177708030465,295.18820184040464
510.423,298.4853562672995,311.6232376837206,285.34747485087837
510.999,273.7976189003431,295.2432238509968,252.35201394968936
511.576,264.2626037621664,285.13120072234375,243.39400680198906
512.153,243.28089462554098,260.9008505526415,225.66093869844048
512.729,248.60245047318102,256.9696684793112,240.23523246705085
513.306,252.06295362240758,262.26264382823217,241.86326341658298
513.883,241.61124690506884,254.62585424286934,228.59663956726834
514.46,227.3803633299501,246.89644815030016,207.8642785096
515.036,193.81480616905597,209.8710247389491,177.75858759916284
515.613,178.8542701583578,191.39400718528074,166.31453313143484
516.19,197.48493380269977,210.87410420368911,184.09576340171043
516.766,197.88730621381154,208.5302397065224,187.2443727211007
517.343,192.05420294739244,208.7324785604826,175.37592733430228
517.92,181.2311099654027,196.09221386114422,166.3700060696612
518.496,166.53289163202925,186.4291163289833,146.6366669350752
519.073,176.57839129854824,196.94018309003013,156.21659950706635
519.65,159.82113597694473,179.05847986422697,140.5837920896625
520.227,159.09792721823308,177.56234817564544,140.63350626082072
520.803,161.03947398265265,175.1782130246794,146.9007349406259
521.38,120.86344315232141,144.41241761288484,97.31446869175798
521.957,137.29311472391697,143.4830445546768,131.10318489315713
522.533,134.95191162667993,152.1388673134074,117.76495593995247
523.11,125.86423901717231,144.5180564355497,107.21042159879492
523.687,135.43848776131048,154.57135854834968,116.30561697427127
524.264,138.22684442121152,148.44110440721303,128.01258443521002
524.84,115.14936580533377,133.63844631641442,96.66028529425313
525.417,96.64855560389255,115.06946276155725,78.22764844622785
525.994,111.10567572947059,131.2181202112909,90.99323124765027
526.57,96.9482533678026,111.9015790411568,81.99492769444839
527.147,109.46575563477809,123.77369043896162,95.15782083059456
527.724,100.40328839179627,120.51081666868268,80.29576011490985
528.301,83.99626230055593,103.22063553353706,64.77188906757479
528.877,111.68851744074108,125.70245408616404,97.67458079531812
529.454,92.88322254148702,108.33405452046789,77.43239056250614
530.031,63.83148176591161,78.71026912293918,48.95269440888404
530.607,73.78026734504228,89.49652043942658,58.064014250657976
531.184,87.78721467689076,101.59710313754053,73.97732621624098
531.761,82.43624955105041,95.14170136047719,69.73079774162363
532.338,75.04150504136416,94.06892112170463,56.01408896102369
532.914,76.03332369922363,93.16705115810687,58.89959624034039
533.491,71.14081883509073,83.4212012559396,58.86043641424185
534.068,53.24267988603135,65.9265176944707,40.55884207759199
534.644,43.57840147809511,62.12691561278679,25.029887343403434
535.221,73.9920217401143,88.78664363661285,59.19739984361574
535.798,58.18757742239761,72.92233046126856,43.452824383526654
536.374,40.13618428923292,58.10369253148481,22.16867604698103
536.951,64.8872409805396,83.24941228180667,46.525069679272534
537.528,60.65653245246533,81.08580602180824,40.22725888312242
538.105,41.875831493109644,60.829084592036935,22.92257839418235
538.681,27.056621441663722,43.61727246849276,10.49597041483469
539.258,54.94030894503719,67.5425676064212,42.338050283653175
539.835,56.00080777539131,66.47944873843815,45.522166812344466
540.411,40.26204375532697,53.431021681250435,27.093065829403507
540.988,30.89616937061221,42.9253730097244,18.866965731500017
541.565,37.55300877142626,48.88661258869051,26.219404954162016
542.142,45.49894222692893,55.94381349638684,35.054070957471026
542.718,24.905468135746116,38.16781706435452,11.643119207137712
543.295,19.727042145214217,31.918889585368124,7.535194705060309
543.872,26.11346304183271,37.06649628460552,15.160429799059902
544.448,35.31913174680937,49.98934722238775,20.64891627123099
545.025,46.35794052953274,59.53032372221296,33.18555733685252
545.602,43.60911510318183,54.55285313468626,32.6653770716774
546.179,30.76054044729927,45.366730691668685,16.154350202929855
546.755,5.640778598300799,13.014825335313619,-1.7332681387120203
547.332,22.240717240346942,36.422090933609,8.059343547084886
547.909,1.5307896289840426,4.5922662879702365,-1.5306870300021513
548.485,21.682812268954727,29.79827718030097,13.567347357608481
549.062,32.4633664600664,43.55495193505967,21.371780985073137
549.639,40.935287085419816,52.35202072495668,29.51855344588295
550.215,50.38203703894487,64.96478430736504,35.79928977052471
550.792,38.268252059574735,48.98943973487289,27.54706438427658
551.369,37.62384874772731,49.78805372166088,25.459643773793736
551.946,42.71663322634171,58.586121666634156,26.84714478604927
552.522,40.82226529109975,58.80455232286884,22.839978259330657
553.099,25.745199593224715,40.16097400189484,11.32942518455459
553.676,30.00420216526463,41.21736480192231,18.79103952860695
554.252,7.026215672485313,15.311678320801107,-1.2592469758304814
554.829,16.764697317277687,31.225928605880394,2.303466028674979
555.406,25.587343141352502,36.97980459559704,14.194881687107966
555.983,20.543654951223587,33.52312514815195,7.564184754295223
556.559,42.27693642252511,51.36583625697521,33.188036588075015
557.136,38.84023198404686,48.0644580373719,29.61600593072182
557.713,9.535160656929513,17.573044871583985,1.4972764422750409
558.289,36.20663394302799,45.11841130761808,27.294856578437894
558.866,41.41548125435157,53.16754448178999,29.663418026913146
559.443,25.161556415930654,36.24957598753734,14.073536844323968
560.02,43.171599869632665,52.84154100721234,33.50165873205299
560.596,50.59979005783971,60.146546481752274,41.05303363392715
561.173,13.296690372209353,23.420178428522558,3.173202315896148
561.75,2.9273961742879764,7.190749444286398,-1.3359570957104459
562.326,3.138901311035681,8.247158342677375,-1.9693557206060137
562.903,24.12901455765609,37.41687517788704,10.841153937425139
563.48,16.505002099419663,28.95313401454288,4.0568701842964465
564.057,3.5837326750762775,8.736370566787837,-1.5689052166352817
564.633,18.034879538798855,25.739993840109967,10.329765237487742
565.21,27.802949980161976,38.60089181308181,17.005008147242144
565.787,25.072965269919614,34.5998291394274,15.546101400411828
566.363,16.11845313495768,24.843628444448207,7.393277825467152
566.94,32.3772682632257,42.96621610867953,21.78832041777187
567.517,21.92735889890973,31.746873872900274,12.107843924919186
568.093,3.49639763070538,8.54869238915312,-1.55589712774236
568.67,22.06581769773954,33.08005981020505,11.051575585274032
569.247,4.163168284024378,9.6386581636108,-1.3123215955620449
569.824,1.1928720848849017,3.5176085373377197,-1.1318643675679163
570.4,15.40957961368624,24.361402476148182,6.457756751224299
570.977,4.200461913787351,9.625075899654316,-1.2241520720796126
571.554,-0.10888168034621686,4.779018348045623,-4.996781708738057
