Wavelength [nm]	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable
535.221	483.58539234692006	486.1892205907286	480.9815641031118
535.798	462.2846980762528	464.77383437478665	459.79556177771923
536.374	451.45075046490155	453.8815522081969	449.0199487216064
536.951	455.310092247873	457.76167431930907	452.8585101764372
537.528	428.39952228086923	430.7062064640606	426.09283809767817
538.105	410.3138664111578	412.52316977535287	408.10456304696294
538.681	403.42410897301	405.59631496971974	401.25190297630047
539.258	393.62122347023353	395.7406465860976	391.50180035436966
539.835	373.6154042312177	375.62710755653507	371.6037009059006
540.411	370.60901693525545	372.6045326000749	368.61350127043625
540.988	383.507908716448	385.57287746910924	381.44293996378696
541.565	362.5346815261537	364.4867215547754	360.58264149753217
542.142	339.3213205311022	341.14837000800503	337.49427105419954
542.718	315.3552282347565	317.05323413631044	313.65722233320275
543.295	315.95495982836354	317.656194938423	314.2537247183042
543.872	350.6988422236844	352.58715308853755	348.8105313588314
544.448	330.72191229270317	332.50265891926034	328.94116566614616
545.025	291.3285834928518	292.8972197790844	289.7599472066193
545.602	286.97088602778103	288.5160586281433	285.42571342741894
546.179	296.1358751991755	297.7303959767911	294.54135442155996
546.755	257.8079150188782	259.1960618513242	256.41976818643235
547.332	250.18757545760906	251.53469115948113	248.84045975573713
547.909	264.08700257696745	265.50895867203354	262.66504648190147
548.485	244.49490246584622	245.8113664090976	243.178438522595
549.062	258.03349587965533	259.42285733484607	256.64413442446477
549.639	240.94884656072796	242.24621703948267	239.65147608197339
550.215	234.1660721630609	235.4269213162596	232.9052230098623
550.792	230.02228213574784	231.2608193711751	228.78374490032073
551.369	226.91662659930785	228.1384416720534	225.69481152656243
551.946	210.92014936618995	212.05583264115953	209.78446609122048
552.522	206.86119320118465	207.97502133977068	205.7473650625987
553.099	206.76298715273148	207.87628650842476	205.64968779703833
553.676	197.77989384762537	198.84482443032678	196.71496326492405
554.252	182.82306602530983	183.80746272229456	181.8386693283252
554.829	171.96850240420014	172.89445354063207	171.0425512677683
555.406	165.6150617587671	166.50680328411534	164.72332023341895
555.983	170.9901220908112	171.9108052139129	170.0694389677096
556.559	168.36043535547935	169.26695913319512	167.45391157776365
557.136	164.24862784378743	165.13301191112015	163.36424377645483
557.713	137.45439217567997	138.19450474782693	136.7142796035331
558.289	158.41814373435844	159.27113400973738	157.56515345897955
558.866	139.87291205387643	140.6260469597554	139.11977714799758
559.443	153.08404494259457	153.90831417447416	152.25977571071508
560.02	146.00411125308761	146.7902591281256	145.2179633780497
560.596	113.17149848014313	113.78086168424365	112.56213527604265
561.173	120.84438270717033	121.49505996454455	120.19370544979616
561.75	124.21303417767041	124.88184967904715	123.54421867629374
562.326	134.12104987913122	134.84321432679923	133.39888543146327
562.903	122.9651835550631	123.62728010101517	122.3030870091111
563.48	104.63203617601255	105.19541930402657	104.06865304799858
564.057	120.31627814820887	120.96411186732064	119.66844442909716
564.633	110.88365875316728	111.48070326073007	110.28661424560455
565.21	113.70229501614406	114.31451625324978	113.0900737790384
565.787	113.22455428078213	113.83420315974875	112.61490540181558
566.363	93.55710633293215	94.06085735546908	93.05335531039526
566.94	88.34455281736028	88.82023724756212	87.8688683871585
567.517	86.7271857515101	87.19416159350124	86.26020990951903
568.093	86.40858625599094	86.87384662357356	85.94332588840837
568.67	95.07875487341632	95.59069909514736	94.5668106516853
569.247	87.94157407724686	88.41508869950624	87.4680594549875
569.824	70.82663149771055	71.20799203180884	70.44527096361229
570.4	69.76558363624831	70.14123103998033	69.38993623251633
570.977	76.71698394103451	77.13006062351248	76.30390725855659
571.554	92.60912150712834	93.10776817849339	92.11047483576333
572.13	72.3246474763191	72.71407396190499	71.93522099073324
572.707	69.93497373578356	70.31153320744065	69.55841426412651
573.284	60.44326714850822	60.768719258187424	60.11781503882905
573.861	57.21309915507736	57.52115867435443	56.905039635800314
574.437	58.79424379570003	59.110816866333195	58.4776707250669
575.014	68.08098529572844	68.44756210963716	67.71440848181976
575.591	73.0255678310659	73.41876836823654	72.63236729389529
576.167	72.11477330912196	72.50306974344318	71.72647687480077
576.744	67.71429713215997	68.07889954193638	67.34969472238359
577.321	66.11151444824522	66.4674867982905	65.75554209819998
577.898	58.93957648017354	59.25693208343604	58.62222087691108
578.474	58.82262881942018	59.13935472702409	58.5059029118163
579.051	61.540196678610684	61.87155512073324	61.20883823648817
579.628	57.84189728557908	58.153342519887595	57.53045205127059
580.204	49.96357091208277	50.23259590572667	49.694545918438905
580.781	48.86912890506743	49.13226096014416	48.60599684999072
581.358	39.95640183523394	40.17154399888496	39.74125967158294
581.934	33.786436524880436	33.96835698623717	33.60451606352372
582.511	37.55420419756803	37.75641191333218	37.3519964818039
583.088	42.263971368613106	42.4915384624226	42.036404274803644
583.665	36.30018588073101	36.49564143159665	36.10473032986538
584.241	31.099524770055098	31.26697776232249	30.932071777787723
584.818	40.05777691994876	40.273464929923875	39.84208890997366
585.395	45.689086205624974	45.93509556607866	45.44307684517132
585.971	42.105028972345494	42.33174025308227	41.878317691608736
586.548	39.18598526706002	39.39697918212567	38.97499135199439
587.125	36.32765767679726	36.523261147429785	36.132054206164746
587.702	39.713510539823105	39.927344874029366	39.49967620561686
588.278	38.97379614016281	39.18364753924186	38.76394474108378
588.855	26.82974250450172	26.974205183509227	26.68527982549423
589.432	23.291162539058455	23.416572007189842	23.16575307092708
590.008	22.840367724354234	22.963349922577834	22.717385526130645
590.585	32.40884788100714	32.58335082257102	32.23434493944328
591.162	37.01584286532956	37.21515181602668	36.81653391463245
591.739	37.075373041126795	37.27500252746365	36.875743554789956
592.315	26.980595445689122	27.125870380722432	26.835320510655826
592.892	28.77317954871699	28.92810651458236	28.618252582851635
593.469	38.531971149099824	38.7394435755946	38.32449872260508
594.045	44.57978721140436	44.81982363698927	44.33975078581948
594.622	40.49765993922085	40.71571646538293	40.279603413058794
595.199	35.10164273630263	35.290644824056535	34.91264064854874
595.776	35.52724771381124	35.71854143873757	35.335953988884924
596.352	29.293242252218707	29.450969455596127	29.135515048841302
596.929	31.873008147514508	32.044625901365315	31.701390393663722
